Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/27/2024 13:57,42,Okada ,Yes,,I liked their projects or promises,NDC,"He didn’t do enough for the community, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",Salas Mensah,Mepom ,"Bad roads, Jobs",Neither,Create more jobs ,Yes
12/27/2024 13:57,47,Farmer,Yes,,"I support their party, They were active in the community",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Work hard,Yes
12/27/2024 13:57,65,Trader ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Bad roads, Jobs, Market ",Frederick Obeng Adom (NPP),Continuing community projects ,Yes
12/27/2024 13:57,,,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"No, I didn't know about them","Yes, he did most of the work needed","He was more visible and approachable, People here always vote NDC",They made stronger promises,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),,No
12/27/2024 13:58,38,Seamstress ,Yes,,For change,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me",,People here always vote NDC,They made stronger promises,Salas Mensah,Mepom,"Jobs, Health Services, Clean water",Neither,Fulfill their promise ,Yes
12/27/2024 13:58,42,Seamstress ,No,I traveled ,,,,,,,,,,,,,
12/27/2024 13:58,66,Pensioner ,No,Sick,"I support their party, I liked their projects or promises",None ,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC",They were better at reaching people,Amankwanor,Mepom ,"Jobs, Health Services, Clean water",Emmanuel Drah (NDC),Do what the citizens says ,No
12/27/2024 13:59,,Student ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),,Yes
12/27/2024 13:59,71,Unemployed ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, Ungratefulness ","I heard, but they didn't help me","Yes, he did most of the work needed",For change ,They were better at reaching people,Amankwanor,Mepom ,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Reduce cost of living ,Yes
12/27/2024 13:59,24,Seamstress ,Yes,,For change ,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",Don't know ,None,,Mepom ,Bad roads,Frederick Obeng Adom (NPP),,Yes
12/27/2024 13:59,67,Farmer ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Frederick Adom,MEPOM ,"Jobs, Health Services, Clean water, ",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/27/2024 13:59,39,Trader,Yes,,"I support their party, They were active in the community",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","Yes, I knew about them, I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),"No idea
",Yes
12/27/2024 14:00,61,Trader,Yes,,For change ,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, Electricity, Roads ","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom,"Bad roads, Jobs, Clean water",Neither,Fulfill their promises ,Yes
12/27/2024 14:01,27,Seamstress ,Yes,,"I liked their projects or promises, For change",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, I heard, but they didn't help me","No, he didn't solve major issues","People here always vote NDC, For change ",They made stronger promises,Assifu Bekoe,Mepom,"Bad roads, Jobs, Schools and education, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:01,23,Unemployed ,No,I wasn’t interested,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),Provide employment,Yes
12/27/2024 14:02,30,Seamstress ,No,I wasn’t interested,I support their party,NPP,,,,,,,MEPOM ,"Bad roads, Jobs, Schools and education, Clean water",Frederick Obeng Adom (NPP),More infrastructure and job creation ,Yes
12/27/2024 14:02,24,Seamstress ,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them",,"The NDC’s promises were better, People here always vote NDC",They made stronger promises,Salas Mensah,Mepom,"Bad roads, Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:03,26,Seamstress,Yes,,"I liked their projects or promises, They were active in the community",None,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),No idea,Yes
12/27/2024 14:04,,Unemployed ,Yes,,For change ,NDC,Don't know ,"Yes, I knew about them, Schools, awards ","Yes, he did most of the work needed",Don't know ,None,Frederick Adom,Mepom ,Support for the aged ,Neither,They should support the aged ,Yes
12/27/2024 14:04,54,Trader,Yes,,For change ,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Electricity,schools,hospitals, ","He tried, but it wasn't enough",People were not happy with the NPP government,Job creation ,Frederick Adom,Mepom ,"Bad roads, Jobs, Schools and education, Health Services, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/27/2024 14:04,21,Trader,Yes,,"I liked their projects or promises, They were active in the community",NDC,He didn’t do enough for the community,"No, I didn't know about them","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Salas Mensah,Mepom ,"Bad roads, Clean water",Emmanuel Drah (NDC),Create more jobs ,Yes
12/27/2024 14:04,35,Seamstress ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,,MEPOM ,"Bad roads, Jobs, Schools and education, Health Services",Neither,Job creation and more infrastructure ,Yes
12/27/2024 14:05,55,Trader,No,I wasn’t interested,"I support their party, I liked their projects or promises",None,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",The NDC’s promises were better,They were better at reaching people,Amankwanor,Mepom ,Jobs,Frederick Obeng Adom (NPP),None ,Yes
12/27/2024 14:06,32,Mason,Yes,,I support their party,NDC,For change ,"I heard, but they didn't help me","He tried, but it wasn't enough",The NDC’s promises were better,They were better at reaching people,Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),None,No
12/27/2024 14:07,36,Trader,Yes,,"I liked their projects or promises, For chane",NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","No, he didn't solve major issues",People here always vote NDC,They were better at reaching people,Salas Mensah,Mepom,"Schools and education, Health Services",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:07,19,Student ,No,Missing ID ,I liked their projects or promises,NPP,Cost of living ,"Yes, I knew about them, Gifts ","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC",They were better at reaching people,Amankwanor,Mepom ,"Bad roads, Jobs, Clean water",Neither,Reduce cost of living ,Yes
12/27/2024 14:08,,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Health Services",Emmanuel Drah (NDC),,Yes
12/27/2024 14:08,55,Trader,Yes,,"I support their party, For change ",NPP,People were not happy with the NPP government and wanted change,"No, I didn't know about them","He tried, but it wasn't enough",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs",Frederick Obeng Adom (NPP),Come out with better policies ,Yes
12/27/2024 14:08,54,Farmer,Yes,,"I liked their projects or promises, They were active in the community",NPP,"He didn’t do enough for the community, The NDC’s promises sounded better","No, I didn't know about them",,"The NDC’s promises were better, People here always vote NDC",They made stronger promises,Amankwanor,Mepom ,Jobs,Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/27/2024 14:08,21,Hairdresser,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Can win next time,Yes
12/27/2024 14:09,,Farmer,No,,,,,,,,,,,,,,
12/27/2024 14:09,21,Hairdresser ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,,Frederick Adom,MEPOM ,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Dont know
12/27/2024 14:09,32,Trader ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Schools, hospitals, police station ","Yes, he did most of the work needed",People were not happy with the NPP government,None,Frederick Adom,Mepom ,"Schools and education, Clean water, Market, lavatories",Frederick Obeng Adom (NPP),,No
12/27/2024 14:10,44,Business man,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",People here always vote NDC,They made stronger promises,Amankwanor,Mepom ,"Schools and education, Health Services",Frederick Obeng Adom (NPP),Fulfill their promises their promises ,Yes
12/27/2024 14:10,34,Food vendor ,Yes,,"I liked their projects or promises, For change ",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me",,People here always vote NDC,They made stronger promises,Salas Mensah,Mepom ,"Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/27/2024 14:10,23,Hairdresser,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),Nothing,Yes
12/27/2024 14:11,32,Okada ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Assifu Bekoe,Mepom ,"Jobs, Health Services, Clean water",Neither,Continue from where the current MP left ,No
12/27/2024 14:11,31,Trader ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",He was more visible and approachable,They made stronger promises,Assifu Bekoe,MEPOM ,"Jobs, Schools and education, Clean water, Lavatories ",Emmanuel Drah (NDC),Job creation and more infrastructure ,Yes
12/27/2024 14:11,19,Hairdresser,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),No idea,Yes
12/27/2024 14:11,37,DJ,Yes,,"I support their party, For change ",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,Salas Mensah,Mepom ,"Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:12,,Student,No,My name wasn’t on the voter list,,,,,,,,,,,,,
12/27/2024 14:12,56,Trader,Yes,,"I support their party, I liked their projects or promises",NPP,His team did not help him ,"Yes, I knew about them, Electricity, road ","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Mepom ,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/27/2024 14:12,28,Mason,Yes,,"I support their party, I liked their projects or promises",None ,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government",They made stronger promises,Salas Mensah,Mepom ,"Jobs, Health Services",Neither,Do what the citizens says ,Yes
12/27/2024 14:13,47,Farmer ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Good policies that will benefit the entire community ,Yes
12/27/2024 14:13,26,Hairdresser,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),Nothing,Yes
12/27/2024 14:14,43,Trader,Yes,,"I liked their projects or promises, They were active in the community",None,The NDC’s promises sounded better,"I heard, but they didn't help me","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Amankwanor,Mepom ,"Bad roads, Jobs, Schools and education",Emmanuel Drah (NDC),Create more jobs ,Yes
12/27/2024 14:14,36,Carpenter,Yes,,For change ,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Salas Mensah,Mepom ,"Jobs, Schools and education, Health Services",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:15,32, Trader ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,Mepom ,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Market ",Neither,Fulfilling their promises ,Yes
12/27/2024 14:15,63,Farmer ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Salas Mensah,Mepom ,"Jobs, Health Services",Neither,Create more water facility ,Yes
12/27/2024 14:15,,Student,No,My name wasn’t on the voter list,,,,,,,,,,,,,
12/27/2024 14:16,25,Seamstress,Yes,,"I support their party, They were active in the community",NDC,,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs, Puplic toilet",Emmanuel Drah (NDC),Nothing,Yes
12/27/2024 14:16,24,Trader,Yes,,"I support their party, For change ",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, Electricity, schools, hospitals ","Yes, he did most of the work needed",For change ,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Schools and education, Clean water, Lavatory, market ",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/27/2024 14:16,30,Tailor ,Yes,,I liked their projects or promises,None ,Team didn’t support ,"Yes, I knew about them","He tried, but it wasn't enough",He was more visible and approachable,They made stronger promises,Frederick Adom,MEPOM ,"Jobs, Clean water, Lavatories ",Neither,Job creation and more infrastructure ,Yes
12/27/2024 14:16,42,Mason ,Yes,,"I liked their projects or promises, They were active in the community",None,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","He tried, but it wasn't enough",People here always vote NDC,None,Salas Mensah,Mepom ,Health Services,Emmanuel Drah (NDC),None,Dont know
12/27/2024 14:17,,Trader ,Yes,,I liked their projects or promises,NPP,,"No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,They were better at reaching people,,,Bad roads,Neither,,Yes
12/27/2024 14:17,24,Sramstress,No,I wasn’t interested,,None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),Should work harder,Yes
12/27/2024 14:18,20,Seamstress ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"No, I didn't know about them","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,MEPOM ,"Bad roads, Jobs, Clean water, Potable ",,More infrastructure and job ,Yes
12/27/2024 14:18,,Trader ,Yes,,,NDC,People vote for NDC here,"No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,,,Mepom ,Bad roads,Emmanuel Drah (NDC),,Yes
12/27/2024 14:18,43,Trader,Yes,,"I liked their projects or promises, They were active in the community",NPP,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Amankwanor,Mepom ,"Jobs, Clean water",Neither,Create more water facility ,Yes
12/27/2024 14:19,45,Farmer ,Yes,,For change,NDC,He didn’t do enough for the community,"Yes, I knew about them","No, he didn't solve major issues","People here always vote NDC, For change ",They made stronger promises,Frederick Adom,Mepom ,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:19,19,Seamstress,No,My name wasn’t on the voter list,,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, No, I didn't know about them","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs",Emmanuel Drah (NDC),No idea,Yes
12/27/2024 14:19,19,Student ,Yes,I had no transportation,,,,,,,,,Mepom , cost of living ,Neither,Reduce cost of living ,Yes
12/27/2024 14:20,,,Yes,,I support their party,NPP,,,,,,,,,,,
12/27/2024 14:20,,Trader ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,None,,,"Bad roads, Schools and education",Neither,,Yes
12/27/2024 14:21,23,"Undertaker, trader",Yes,,"I support their party, I liked their projects or promises",NPP,None,"Yes, I knew about them, Electricity, police station, hospital ","He tried, but it wasn't enough",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Mepom ,"Bad roads, Jobs, Clean water, Market,lavatory ",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/27/2024 14:21,,Tailor,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Bad roads, Jobs, Health Services",Neither,,Yes
12/27/2024 14:21,72,Trader,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Amankwanor,Mepom,"Bad roads, Clean water",,Reduce cost of living ,Yes
12/27/2024 14:22,35,Corn mill worker ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them, I heard, but they didn't help me",,People here always vote NDC,They made stronger promises,Assifu Bekoe,Mepom ,"Bad roads, Jobs, Health Services",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:22,,,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Police station, hospital ","Yes, he did most of the work needed",People here always vote NDC,None,Frederick Adom,Mepom ,Lavatories ,Neither,,Dont know
12/27/2024 14:23,47,Barber,Yes,,I support their party,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government",They made stronger promises,Amankwanor,Mepom,"Bad roads, Jobs, Clean water",Neither,Provide portable water ,Yes
12/27/2024 14:23,35,Hairdresser ,Yes,,I liked their projects or promises,NPP,Team didn’t support ,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Frederick Adom,MEPOM ,"Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/27/2024 14:23,27,Hairdresser,Yes,,They were active in the community,None,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepon,"Bad roads, Jobs, Clean water, Public toilet",Emmanuel Drah (NDC),Nothing,Yes
12/27/2024 14:24,32,Food vendor ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","He tried, but it wasn't enough",People here always vote NDC,They made stronger promises,,Mepom ,"Bad roads, Schools and education",Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/27/2024 14:25,19,Unemployed ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Assifu Bekoe,Mepom ,"Bad roads, Jobs, Health Services",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:25,28,Hairdresser,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, People vote for NDC here","Yes, I knew about them, No, I didn't know about them","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Mepom,"Bad roads, Jobs, Public toilet",Emmanuel Drah (NDC),Nothing,Yes
12/27/2024 14:25,,,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),,Yes
12/27/2024 14:25,32,Unemployed ,No,I wasn’t interested,For change ,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Mepom ,"Bad roads, Health Services",Emmanuel Drah (NDC),Reduce cost of living ,Yes
12/27/2024 14:25,,,No,,,,,,,,,,,,,,
12/27/2024 14:26,33,Trader ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,They were better at reaching people,Frederick Adom,MEPOM ,"Jobs, Health Services, Clean water, Lavatories ",Emmanuel Drah (NDC),Job creation and more infrastructure ,Yes
12/27/2024 14:26,35,Seamstress ,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Gifts","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Amankwanor,Depot ,"Schools and education, Clean water",Emmanuel Drah (NDC),Fulfill their promises t,Yes
12/27/2024 14:27,70,Farmer ,Yes,,For change ,NDC,None,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Mepom ,"Lavatory,market ",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/27/2024 14:27,78,Farmer ,Yes,,"I support their party, I liked their projects or promises",NPP,Don't know ,"Yes, I knew about them","Yes, he did most of the work needed",Don't know ,None ,Frederick Adom,Mepom ,Lavatories ,Frederick Obeng Adom (NPP),They should fulfil their promises ,Yes
12/27/2024 14:27,36,Hairdresser,No,Was busy,,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),No idea,Yes
12/27/2024 14:27,54,Trader,Yes,,"I liked their projects or promises, For change ",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,They were better at reaching people,Assifu Bekoe,Mepom ,"Jobs, Health Services, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/27/2024 14:28,54,Farmer,Yes,,I liked their projects or promises,NDC,"The NDC’s promises sounded better, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Amankwanor,Mepom,"Jobs, Clean water",Frederick Obeng Adom (NPP),Provide water facility ,Yes
12/27/2024 14:29,,Secretary ,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Bad roads, Schools and education, Health Services",Frederick Obeng Adom (NPP),,Yes
12/27/2024 14:29,51,Farmer ,Yes,,I liked their projects or promises,NPP,"He didn’t do enough for the community, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC",They made stronger promises,,Mepom ,Jobs,Emmanuel Drah (NDC),Continue from where the current MP left ,Dont know
12/27/2024 14:30,24,Unemployed ,Yes,,They were active in the community,None,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better, People vote for NDC here","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Mepom,"Bad roads, Jobs, Clean water, Public toilet",Emmanuel Drah (NDC),Should provide social amenities,Yes
12/27/2024 14:30,50,Farmer ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,MEPOM ,"Jobs, Schools and education, Health Services, Clean water, Light extension ",Emmanuel Drah (NDC),Job creation and more infrastructure ,Yes
12/27/2024 14:30,63,Food vendor ,Yes,,I liked their projects or promises,None,Cost of living ,"I heard, but they didn't help me","He tried, but it wasn't enough","The NDC’s promises were better, People here always vote NDC, People were not happy with the NPP government",They made stronger promises,,Mepom ,Clean water,Neither,Reduce the cost on items,Yes
12/27/2024 14:30,55,Trader,No,,,None,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,,Salas Mensah,Mepom,Jobs,Emmanuel Drah (NDC),Fulfill their promise ,Yes
